Epoch	Batch/Total 	Time 	NLL train	NLL val	LR
000 	00229/00230 	0.52 	-1.211831	-1.664591	5.00e-04
001 	00229/00230 	1.07 	-1.409689	-1.754528	5.00e-04
002 	00229/00230 	1.58 	-1.452646	-1.798514	5.00e-04
003 	00229/00230 	2.09 	-1.482131	-1.839768	5.00e-04
004 	00229/00230 	2.59 	-1.503356	-1.844530	5.00e-04
005 	00229/00230 	3.11 	-1.520384	-1.862762	5.00e-04
006 	00229/00230 	3.64 	-1.534228	-1.884823	5.00e-04
007 	00229/00230 	4.15 	-1.545661	-1.895124	5.00e-04
008 	00229/00230 	4.68 	-1.555605	-1.910409	5.00e-04
009 	00229/00230 	5.19 	-1.563990	-1.916089	5.00e-04
010 	00229/00230 	5.66 	-1.571765	-1.925871	5.00e-04
011 	00229/00230 	6.17 	-1.578068	-1.931666	5.00e-04
012 	00229/00230 	6.68 	-1.583757	-1.935588	5.00e-04
013 	00229/00230 	7.19 	-1.589162	-1.944710	5.00e-04
014 	00229/00230 	7.70 	-1.594109	-1.942340	5.00e-04
015 	00229/00230 	8.19 	-1.598689	-1.952417	5.00e-04
016 	00229/00230 	8.71 	-1.602171	-1.957698	5.00e-04
017 	00229/00230 	9.22 	-1.606143	-1.960382	5.00e-04
018 	00229/00230 	9.73 	-1.609213	-1.960851	5.00e-04
019 	00229/00230 	10.25 	-1.612438	-1.966261	5.00e-04
020 	00229/00230 	10.77 	-1.643688	-2.008799	5.00e-05
021 	00229/00230 	11.29 	-1.653499	-2.014538	5.00e-05
022 	00229/00230 	11.80 	-1.657684	-2.016534	5.00e-05
023 	00229/00230 	12.31 	-1.660424	-2.019957	5.00e-05
024 	00229/00230 	12.83 	-1.662716	-2.020756	5.00e-05
025 	00229/00230 	13.34 	-1.664426	-2.021914	5.00e-05
026 	00229/00230 	13.96 	-1.666470	-2.024127	5.00e-05
027 	00229/00230 	14.44 	-1.667804	-2.024815	5.00e-05
028 	00229/00230 	15.06 	-1.669398	-2.025343	5.00e-05
029 	00229/00230 	15.57 	-1.670337	-2.026885	5.00e-05
030 	00229/00230 	16.08 	-1.671680	-2.027262	5.00e-05
031 	00229/00230 	16.62 	-1.672585	-2.030408	5.00e-05
032 	00229/00230 	17.13 	-1.673813	-2.029506	5.00e-05
033 	00229/00230 	17.65 	-1.674677	-2.029426	5.00e-05
034 	00229/00230 	18.16 	-1.675662	-2.030859	5.00e-05
035 	00229/00230 	18.69 	-1.676440	-2.031972	5.00e-05
036 	00229/00230 	19.22 	-1.677218	-2.031837	5.00e-05
037 	00229/00230 	19.73 	-1.678172	-2.033399	5.00e-05
038 	00229/00230 	20.25 	-1.678721	-2.034484	5.00e-05
039 	00229/00230 	20.76 	-1.679683	-2.036916	5.00e-05
040 	00229/00230 	21.30 	-1.684099	-2.040462	5.00e-06
041 	00229/00230 	21.81 	-1.685176	-2.040430	5.00e-06
042 	00229/00230 	22.32 	-1.685901	-2.041441	5.00e-06
043 	00229/00230 	22.84 	-1.686051	-2.040884	5.00e-06
044 	00229/00230 	23.35 	-1.686526	-2.041270	5.00e-06
045 	00229/00230 	23.87 	-1.686519	-2.041292	5.00e-06
046 	00229/00230 	24.38 	-1.686666	-2.041373	5.00e-06
047 	00229/00230 	24.89 	-1.686879	-2.040743	5.00e-06
048 	00229/00230 	25.41 	-1.687046	-2.041876	5.00e-06
049 	00229/00230 	25.93 	-1.687477	-2.042146	5.00e-06
050 	00229/00230 	26.44 	-1.687633	-2.042749	5.00e-06
051 	00229/00230 	26.95 	-1.687716	-2.042349	5.00e-06
052 	00229/00230 	27.49 	-1.687766	-2.042402	5.00e-06
053 	00229/00230 	28.00 	-1.687970	-2.042605	5.00e-06
054 	00229/00230 	28.51 	-1.687977	-2.042497	5.00e-06
055 	00229/00230 	29.02 	-1.687971	-2.042755	5.00e-06
056 	00229/00230 	29.53 	-1.688025	-2.041885	5.00e-06
057 	00229/00230 	30.04 	-1.688410	-2.042349	5.00e-06
058 	00229/00230 	30.56 	-1.688731	-2.042849	5.00e-06
059 	00229/00230 	31.07 	-1.688384	-2.042204	5.00e-06
060 	00229/00230 	31.58 	-1.688597	-2.042344	5.00e-06
061 	00229/00230 	32.10 	-1.688855	-2.043266	5.00e-06
062 	00229/00230 	32.61 	-1.689097	-2.042748	5.00e-06
063 	00229/00230 	33.14 	-1.689190	-2.043266	5.00e-06
064 	00229/00230 	33.65 	-1.688990	-2.042691	5.00e-06
065 	00229/00230 	34.18 	-1.689126	-2.042996	5.00e-06
066 	00229/00230 	34.70 	-1.689295	-2.042883	5.00e-06
067 	00229/00230 	35.21 	-1.689522	-2.043413	5.00e-06
068 	00229/00230 	35.72 	-1.689348	-2.042947	5.00e-06
069 	00229/00230 	36.25 	-1.689527	-2.043171	5.00e-06
070 	00229/00230 	36.77 	-1.689664	-2.042966	5.00e-06
071 	00229/00230 	37.28 	-1.689904	-2.043200	5.00e-06
072 	00229/00230 	37.79 	-1.689911	-2.042676	5.00e-06
073 	00229/00230 	38.30 	-1.689989	-2.043575	5.00e-06
074 	00229/00230 	38.82 	-1.690235	-2.042824	5.00e-06
075 	00229/00230 	39.33 	-1.690336	-2.043482	5.00e-06
076 	00229/00230 	39.87 	-1.690300	-2.043944	5.00e-06
077 	00229/00230 	40.38 	-1.690407	-2.043849	5.00e-06
078 	00229/00230 	41.00 	-1.690416	-2.043836	5.00e-06
079 	00229/00230 	41.53 	-1.690654	-2.044039	5.00e-06
080 	00229/00230 	42.07 	-1.690781	-2.043786	5.00e-06
081 	00229/00230 	42.58 	-1.690734	-2.044553	5.00e-06
082 	00229/00230 	43.09 	-1.690923	-2.043827	5.00e-06
083 	00229/00230 	43.60 	-1.690913	-2.043759	5.00e-06
084 	00229/00230 	44.11 	-1.690891	-2.044642	5.00e-06
085 	00229/00230 	44.71 	-1.691097	-2.045061	5.00e-06
086 	00229/00230 	45.25 	-1.691445	-2.044720	5.00e-06
087 	00229/00230 	45.77 	-1.691399	-2.044723	5.00e-06
088 	00229/00230 	46.30 	-1.691405	-2.044692	5.00e-06
089 	00229/00230 	46.90 	-1.691564	-2.044238	5.00e-06
090 	00229/00230 	47.41 	-1.691486	-2.044072	5.00e-06
091 	00229/00230 	47.92 	-1.691653	-2.044269	5.00e-06
092 	00229/00230 	48.46 	-1.691717	-2.044213	5.00e-06
093 	00229/00230 	48.94 	-1.691854	-2.045109	5.00e-06
094 	00229/00230 	49.45 	-1.691733	-2.044590	5.00e-06
095 	00229/00230 	49.96 	-1.692030	-2.044567	5.00e-06
096 	00229/00230 	50.48 	-1.692000	-2.044762	5.00e-06
097 	00229/00230 	50.99 	-1.692050	-2.044842	5.00e-06
098 	00229/00230 	51.51 	-1.692190	-2.044106	5.00e-06
099 	00229/00230 	52.02 	-1.692461	-2.044015	5.00e-06



